datID sessionID block trial length correctResp resp rt
322 446 1 41 99.999 6 6 3.15
323 446 1 42 99.999 6 6 0.685
324 446 1 43 99.999 2 2 1.454
325 446 1 44 99.999 2 2 0.75
326 446 1 45 99.999 1 1 1.486
327 446 1 46 99.999 7 7 4.095
328 446 1 47 99.999 1 1 1.149
329 446 1 48 99.999 1 1 0.718
330 446 1 49 99.999 5 5 3.245
331 446 1 50 99.999 5 5 0.59
332 446 1 51 99.999 4 4 0.832
333 446 1 52 99.999 7 7 3.309
334 446 1 53 99.999 7 7 2.365
335 446 1 54 99.999 3 3 2.195
336 446 1 55 99.999 6 6 3.869
337 446 1 56 99.999 3 3 2.11
338 446 1 57 99.999 5 5 2.157
339 446 1 58 99.999 7 7 1.134
340 446 1 59 99.999 3 3 2.11
341 446 1 60 99.999 3 3 0.687
342 446 1 61 99.999 6 6 1.55
343 446 1 62 99.999 7 7 0.829
344 446 1 63 99.999 4 4 8.078
345 446 1 64 99.999 2 2 1.485
346 446 1 65 99.999 5 5 1.454
347 446 1 66 99.999 4 4 9.662
348 446 1 67 99.999 5 5 0.717
349 446 1 68 99.999 4 4 0.622
350 446 1 69 99.999 3 3 2.175
351 446 2 0 99.999 4 4 4.699
352 446 2 1 99.999 2 2 2.682
353 446 2 2 99.999 4 4 6.029
354 446 2 3 99.999 3 3 0.655
355 446 2 4 99.999 2 2 0.686
356 446 2 5 99.999 2 1 0.639
357 446 2 6 99.999 5 5 3.63
358 446 2 7 99.999 5 5 0.702
359 446 2 8 99.999 7 7 1.33
360 446 2 9 99.999 3 3 3.501
361 446 2 10 99.999 1 1 0.894
362 446 2 11 99.999 7 7 1.617
363 446 2 12 99.999 7 7 7.613
364 446 2 13 99.999 6 6 1.346
365 446 2 14 99.999 5 5 1.027
366 446 2 15 99.999 3 3 1.469
367 446 2 16 99.999 6 6 1.504
368 446 2 17 99.999 6 6 0.461
369 446 2 18 99.999 1 1 1.186
370 446 2 19 99.999 5 5 4.749
371 446 2 20 99.999 7 7 1.341
372 446 2 21 99.999 4 3 2.411
373 446 2 22 99.999 4 4 0.669
374 446 2 23 99.999 5 5 1.41
375 446 2 24 99.999 2 2 1.165
376 446 2 25 99.999 7 7 1.075
377 446 2 26 99.999 1 1 1.085
378 446 2 27 99.999 3 3 1.202
379 446 2 28 99.999 6 6 1.105
380 446 2 29 99.999 4 4 1.405
381 446 2 30 99.999 4 4 0.83
382 446 2 31 99.999 6 6 1.661
383 446 2 32 99.999 5 5 19.091
384 446 2 33 99.999 6 6 0.813
385 446 2 34 99.999 4 4 1.746
386 446 2 35 99.999 4 4 0.525
387 446 2 36 99.999 5 5 0.952
388 446 2 37 99.999 7 7 1.25
389 446 2 38 99.999 7 7 0.652
390 446 2 39 99.999 4 5 5.619
391 446 2 40 99.999 5 5 2.292
392 446 2 41 99.999 6 6 0.687
393 446 2 42 99.999 2 2 1.262
394 446 2 43 99.999 5 4 2.227
395 446 2 44 99.999 1 1 1.123
396 446 2 45 99.999 6 6 1.517
397 446 2 46 99.999 1 1 0.989
398 446 2 47 99.999 2 3 1.856
399 446 2 48 99.999 3 3 1.55
400 446 2 49 99.999 3 3 0.624
401 446 2 50 99.999 6 6 2.142
402 446 2 51 99.999 6 6 0.541
403 446 2 52 99.999 1 1 1.1
404 446 2 53 99.999 2 2 2.7
405 446 2 54 99.999 7 7 1.391
406 446 2 55 99.999 3 3 10.047
407 446 2 56 99.999 7 7 1.315
408 446 2 57 99.999 1 1 1.502
409 446 2 58 99.999 3 3 9.441
410 446 2 59 99.999 3 3 0.542
411 446 2 60 99.999 5 5 1.853
412 446 2 61 99.999 7 7 0.846
413 446 2 62 99.999 6 6 0.541
414 446 2 63 99.999 1 2 1.198
415 446 2 64 99.999 1 1 0.781
416 446 2 65 99.999 7 7 1.055
417 446 2 66 99.999 7 7 1.437
418 446 2 67 99.999 1 1 1.149
419 446 2 68 99.999 7 7 0.798
420 446 2 69 99.999 1 1 0.461
