datID sessionID block trial background target forePeriod resp rt
340 361 5 14 2 5 31 0 0.327
341 361 5 15 0 20 33 1 0.285
342 361 5 16 2 4 32 0 0.325
343 361 5 17 2 17 40 1 0.296
344 361 5 18 2 14 34 1 0.222
345 361 5 19 0 6 33 0 0.308
346 361 5 20 1 16 33 1 0.235
347 361 5 21 0 0 31 0 0.257
348 361 5 22 1 5 31 0 0.379
349 361 5 23 2 6 31 0 0.384
350 361 5 24 1 13 31 1 0.278
351 361 5 25 1 10 35 1 0.301
352 361 5 26 2 15 41 1 0.362
353 361 5 27 0 12 33 1 0.255
354 361 5 28 0 7 32 0 0.344
355 361 5 29 1 17 33 1 0.259
356 361 5 30 2 1 31 0 0.277
357 361 5 31 0 0 33 0 0.333
358 361 5 32 0 14 32 1 0.244
359 361 5 33 0 1 32 0 0.296
360 361 5 34 1 7 34 0 0.348
361 361 5 35 1 13 33 1 0.289
362 361 5 36 0 6 31 0 0.33
363 361 5 37 0 13 32 1 0.353
364 361 5 38 1 14 34 0 0.229
365 361 5 39 2 8 31 1 0.256
366 361 5 40 1 10 33 1 0.409
367 361 5 41 0 5 31 0 0.409
368 361 5 42 0 14 31 1 0.302
369 361 5 43 1 8 33 0 0.485
370 361 5 44 2 2 34 0 0.356
371 361 5 45 0 1 36 0 0.248
372 361 5 46 2 0 32 0 0.401
373 361 5 47 2 8 32 1 0.405
374 361 5 48 2 7 32 0 0.249
375 361 5 49 1 13 31 1 0.339
376 361 5 50 1 10 32 1 0.345
377 361 5 51 0 4 31 0 0.4
378 361 5 52 2 5 33 0 0.276
379 361 5 53 2 5 31 0 0.301
380 361 5 54 0 5 31 0 0.357
381 361 5 55 0 1 32 0 0.267
382 361 5 56 1 13 31 1 0.292
383 361 5 57 2 14 32 1 0.332
384 361 5 58 0 16 36 1 0.277
385 361 5 59 1 6 32 0 0.206
386 361 5 60 1 1 31 0 0.281
387 361 5 61 0 6 38 0 0.286
388 361 5 62 1 1 31 0 0.343
389 361 6 0 2 15 32 1 0.436
390 361 6 1 2 13 32 0 0.487
391 361 6 2 2 12 31 1 0.471
392 361 6 3 0 17 31 1 0.361
393 361 6 4 2 3 34 0 0.28
394 361 6 5 0 10 32 0 0.353
395 361 6 6 1 9 31 0 0.327
396 361 6 7 2 3 33 0 0.318
397 361 6 8 2 16 31 1 0.293
398 361 6 9 2 11 35 1 0.358
399 361 6 10 2 6 31 0 0.413
400 361 6 11 2 16 31 1 0.353
