datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
302 433 0 61 23 41 0 1 1 0.972
303 433 0 62 23 41 1 8 8 1.579
304 433 0 63 23 41 1 8 8 0.712
305 433 0 64 23 41 1 6 7 13.923
306 433 0 65 23 41 0 4 4 2.344
307 433 0 66 23 41 0 3 3 1.618
308 433 0 67 23 41 1 8 8 5.929
309 433 0 68 23 41 1 8 8 0.482
310 433 0 69 23 41 1 5 5 2.262
311 433 0 70 23 41 1 7 8 1.522
312 433 0 71 23 41 0 1 1 1.166
313 433 0 72 23 41 1 5 5 5.222
314 433 0 73 23 41 1 8 8 1.974
315 433 0 74 23 41 0 3 3 4.76
316 433 0 75 23 41 0 3 3 0.624
317 433 0 76 23 41 0 3 3 0.495
318 433 0 77 23 41 0 2 2 1.345
319 433 0 78 23 41 0 2 2 0.595
320 433 0 79 23 41 1 6 6 3.583
321 433 1 0 23 41 0 2 2 1.805
322 433 1 1 23 41 1 8 8 5.044
323 433 1 2 23 41 1 6 6 4.966
324 433 1 3 23 41 0 2 2 2.76
325 433 1 4 23 41 1 6 6 2.225
326 433 1 5 23 41 1 6 6 0.606
327 433 1 6 23 41 1 5 5 2.604
328 433 1 7 23 41 1 8 8 9.403
329 433 1 8 23 41 0 1 1 2.587
330 433 1 9 23 41 0 1 1 0.617
331 433 1 10 23 41 1 8 8 2.89
332 433 1 11 23 41 0 1 1 1.124
333 433 1 12 23 41 1 8 8 3.629
334 433 1 13 23 41 0 3 2 1.185
335 433 1 14 23 41 0 4 4 1.363
336 433 1 15 23 41 0 2 2 3.124
337 433 1 16 23 41 1 6 6 4.555
338 433 1 17 23 41 0 1 1 1.191
339 433 1 18 23 41 1 7 7 2.68
340 433 1 19 23 41 0 3 3 2.788
341 433 1 20 23 41 1 8 8 2.412
342 433 1 21 23 41 1 6 6 2.082
343 433 1 22 23 41 0 2 2 1.991
344 433 1 23 23 41 1 7 7 7.868
345 433 1 24 23 41 1 5 3 3.136
346 433 1 25 23 41 0 1 1 3.836
347 433 1 26 23 41 0 1 1 0.568
348 433 1 27 23 41 0 2 2 0.867
349 433 1 28 23 41 1 7 6 4.908
350 433 1 29 23 41 0 4 4 1.748
351 433 1 30 23 41 0 3 3 1.702
352 433 1 31 23 41 1 7 6 5.32
