datID sessionID block trial background target forePeriod resp rt
403 375 5 22 1 5 31 1 0.122
404 375 5 23 0 6 31 1 0.134
405 375 5 24 1 1 32 0 0.106
406 375 5 25 1 4 32 0 0.172
407 375 5 26 0 5 31 1 0.099
408 375 5 27 0 6 31 1 0.132
409 375 5 28 0 0 31 0 0.078
410 375 5 29 0 6 31 1 0.117
411 375 5 30 1 7 31 0 0.086
412 375 5 31 1 5 34 1 0.081
413 375 5 32 0 0 32 0 0.127
414 375 5 33 1 7 31 1 0.054
415 375 5 34 1 1 32 0 0.08
416 375 5 35 1 7 31 1 0.146
417 375 5 36 0 4 32 1 0.177
418 375 5 37 1 4 32 0 0.093
419 375 5 38 0 4 31 1 0.077
420 375 5 39 0 7 33 1 0.082
421 375 5 40 1 6 31 0 0.066
422 375 5 41 0 2 34 1 0.177
423 375 5 42 1 7 33 1 0.193
424 375 5 43 1 2 31 0 0.094
425 375 5 44 0 6 40 1 0.137
426 375 5 45 0 3 38 1 0.308
427 375 5 46 0 5 33 1 0.29
428 375 5 47 1 0 32 0 0.063
429 375 5 48 0 6 31 1 0.179
430 375 5 49 0 3 31 0 0.264
431 375 5 50 0 7 37 1 0.298
432 375 5 51 1 2 38 0 0.126
433 375 5 52 1 3 33 0 0.131
434 375 5 53 0 4 36 1 0.063
435 375 5 54 1 3 31 0 0.074
436 375 5 55 0 7 34 1 0.044
437 375 5 56 1 4 33 0 0.092
438 375 5 57 0 1 34 1 0.032
439 375 5 58 0 2 35 0 0.203
440 375 5 59 0 2 32 0 0.112
441 375 6 0 0 5 33 1 0.084
442 375 6 1 0 7 35 0 0.091
443 375 6 2 1 2 35 0 0.3
444 375 6 3 0 7 31 1 0.1
445 375 6 4 1 5 31 0 0.228
446 375 6 5 0 2 35 0 0.466
447 375 6 6 1 5 35 1 0.185
448 375 6 7 0 2 31 1 0.145
449 375 6 8 1 3 32 0 0.093
450 375 6 9 1 0 37 0 0.109
451 375 6 10 0 5 32 1 0.116
452 375 6 11 0 2 36 0 0.209
453 375 6 12 1 6 32 1 0.128
454 375 6 13 0 3 31 0 0.245
455 375 6 14 0 0 36 0 0.186
456 375 6 15 1 2 31 0 0.163
457 375 6 16 1 7 31 1 0.171
458 375 6 17 1 7 31 1 0.226
459 375 6 18 1 3 31 0 0.161
460 375 6 19 1 0 31 0 0.211
461 375 6 20 1 7 31 1 0.192
462 375 6 21 1 3 33 0 0.19
463 375 6 22 1 3 33 0 0.178
464 375 6 23 0 7 34 1 0.155
465 375 6 24 1 1 31 0 0.257
466 375 6 25 0 4 33 1 0.338
467 375 6 26 0 1 33 0 0.411
468 375 6 27 0 2 31 1 0.501
469 375 6 28 1 3 38 0 0.185
470 375 6 29 1 7 31 1 0.167
471 375 6 30 1 1 31 0 0.113
472 375 6 31 0 0 34 0 0.335
473 375 6 32 0 0 36 0 0.186
474 375 6 33 1 3 32 0 0.4
475 375 6 34 1 4 31 1 0.384
476 375 6 35 0 5 31 1 0.308
477 375 6 36 1 5 34 0 0.288
478 375 6 37 0 7 34 1 0.201
479 375 6 38 0 5 31 1 0.691
480 375 6 39 0 7 36 1 0.302
481 375 6 40 1 5 34 0 0.106
482 375 6 41 0 2 31 0 0.258
483 375 6 42 0 1 39 1 0.17
484 375 6 43 1 1 40 0 0.075
485 375 6 44 1 4 38 0 0.218
486 375 6 45 0 3 31 1 0.066
487 375 6 46 1 0 35 0 0.046
488 375 6 47 0 3 33 1 0.097
489 375 6 48 1 5 35 0 0.083
490 375 6 49 1 0 32 0 0.064
491 375 6 50 0 7 31 1 0.064
492 375 6 51 1 4 33 0 0.03
493 375 6 52 1 0 31 0 0.053
494 375 6 53 1 4 32 0 0.11
495 375 6 54 1 4 31 0 0.124
496 375 6 55 1 2 31 1 0.141
497 375 6 56 1 1 31 0 0.308
498 375 6 57 0 3 36 1 0.078
499 375 6 58 0 5 33 0 0.25
500 375 6 59 1 3 31 1 0.785
501 375 7 0 0 1 32 0 0.238
502 375 7 1 0 3 32 1 0.221
503 375 7 2 1 6 35 1 0.312
504 375 7 3 1 2 36 0 0.108
505 375 7 4 1 7 34 1 0.221
506 375 7 5 1 4 43 0 0.123
507 375 7 6 1 1 31 0 0.047
508 375 7 7 1 4 33 0 0.211
509 375 7 8 1 7 32 1 0.096
510 375 7 9 1 0 34 0 0.13
511 375 7 10 0 0 32 1 0.208
512 375 7 11 0 2 34 1 0.272
513 375 7 12 1 4 35 1 0.286
514 375 7 13 0 0 34 0 0.305
515 375 7 14 1 5 32 0 0.196
516 375 7 15 1 6 32 1 0.097
517 375 7 16 1 3 32 1 0.354
518 375 7 17 0 7 31 1 0.372
519 375 7 18 1 6 33 0 0.276
520 375 7 19 1 4 32 0 0.239
521 375 7 20 0 2 33 1 0.226
522 375 7 21 1 2 31 0 0.159
523 375 7 22 1 0 39 0 0.17
524 375 7 23 0 0 31 1 0.276
525 375 7 24 0 3 31 0 0.128
526 375 7 25 0 1 31 0 0.212
527 375 7 26 0 7 37 1 0.222
528 375 7 27 1 4 33 0 0.119
529 375 7 28 0 6 33 1 0.105
530 375 7 29 0 0 31 0 0.413
531 375 7 30 0 3 34 1 0.3
532 375 7 31 0 0 32 0 0.125
533 375 7 32 1 1 36 0 0.099
534 375 7 33 0 0 34 1 0.203
535 375 7 34 0 4 32 0 0.154
536 375 7 35 1 5 31 0 0.129
537 375 7 36 0 1 32 1 0.128
538 375 7 37 1 4 33 0 0.068
539 375 7 38 1 3 35 0 0.157
540 375 7 39 0 2 31 1 0.099
541 375 7 40 0 1 33 0 0.193
542 375 7 41 0 0 32 0 0.126
543 375 7 42 0 3 36 1 0.221
544 375 7 43 0 1 38 0 0.107
545 375 7 44 1 6 35 0 0.08
546 375 7 45 1 2 38 0 0.265
547 375 7 46 1 0 31 0 0.189
548 375 7 47 1 1 34 0 0.172
549 375 7 48 0 7 32 1 0.178
550 375 7 49 0 7 33 1 0.144
551 375 7 50 1 7 31 1 0.483
552 375 7 51 0 4 31 1 0.24
553 375 7 52 1 5 32 0 0.145
554 375 7 53 1 2 32 0 0.448
555 375 7 54 0 7 39 1 0.09
556 375 7 55 0 3 32 1 0.164
557 375 7 56 1 1 32 0 0.034
558 375 7 57 1 2 31 0 0.098
559 375 7 58 0 7 31 1 0.037
560 375 7 59 1 7 31 0 0.273
561 378 0 0 0 5 31 0 0.21
562 378 0 1 1 4 32 1 0.019
563 378 0 2 0 4 34 0 0.016
565 379 0 0 0 4 34 1 0.253
566 379 0 1 0 0 40 0 0.213
567 379 0 2 1 6 31 0 0.209
568 379 0 3 1 6 39 1 0.202
569 379 0 4 0 6 32 1 0.079
570 379 0 5 1 2 34 0 0.208
571 379 0 6 0 1 31 0 0.109
572 379 0 7 0 2 32 1 0.16
573 379 0 8 0 2 32 0 0.177
574 379 0 9 0 6 31 1 0.143
575 379 0 10 1 5 35 0 0.174
576 379 0 11 1 4 32 1 0.735
577 379 0 12 0 6 31 0 0.127
578 379 0 13 0 0 35 0 0.203
579 379 0 14 0 6 31 1 0.127
580 379 0 15 1 6 34 1 0.347
581 379 0 16 0 1 31 0 0.208
582 379 0 17 0 5 35 1 0.124
583 379 0 18 1 4 32 0 0.238
584 379 0 19 0 0 32 0 0.193
585 379 0 20 1 7 32 1 0.193
586 379 0 21 1 7 33 1 0.176
587 379 0 22 1 1 31 0 0.292
588 379 0 23 0 7 40 1 0.086
589 379 0 24 1 1 32 0 0.235
590 379 0 25 1 1 37 0 0.075
591 379 0 26 0 7 31 1 0.129
592 379 0 27 0 6 32 1 0.207
593 379 0 28 0 1 36 0 0.11
594 379 0 29 0 3 35 1 0.187
595 379 0 30 1 6 31 0 0.09
596 379 0 31 1 3 40 0 0.085
597 379 0 32 0 4 32 1 0.129
598 379 0 33 0 0 33 0 0.109
599 379 0 34 1 7 31 1 0.098
600 379 0 35 1 1 32 0 0.078
601 379 0 36 1 2 33 0 0.095
602 379 0 37 0 6 48 1 0.065
603 379 0 38 0 3 32 0 0.143
604 379 0 39 1 3 33 0 0.11
605 379 0 40 1 5 33 1 0.079
606 379 0 41 0 7 34 1 0.24
607 379 0 42 1 0 33 0 0.041
608 379 0 43 0 5 33 1 0.12
609 379 0 44 0 1 34 1 0.274
610 379 0 45 0 6 32 1 0.162
611 379 0 46 0 7 32 1 0.075
612 379 0 47 0 3 33 0 0.175
613 379 0 48 1 1 31 0 0.115
614 379 0 49 0 4 32 1 0.142
615 379 0 50 1 7 31 1 0.092
616 379 0 51 1 1 32 0 0.077
617 379 0 52 0 7 31 1 0.113
618 379 0 53 1 5 31 1 0.109
619 379 0 54 1 2 31 0 0.108
620 379 0 55 1 0 32 0 0.122
621 379 0 56 1 0 32 0 0.08
622 379 0 57 0 1 31 1 0.156
623 379 0 58 0 0 31 0 0.129
624 379 0 59 0 7 31 1 0.206
625 379 1 0 1 6 32 1 0.184
627 380 0 0 0 5 32 0 0.275
628 380 0 1 0 5 33 1 0.457
629 380 0 2 1 5 34 1 0.057
631 381 0 0 0 2 31 0 0.212
632 381 0 1 1 5 33 1 0.11
