datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
318 444 0 77 23 41 1 3 2 4.658
319 444 0 78 23 41 1 5 4 0.952
320 444 0 79 23 41 1 5 5 0.565
321 444 1 0 23 41 2 8 8 2.669
322 444 1 1 23 41 1 3 2 3.49
323 444 1 2 23 41 1 6 5 1.371
324 444 1 3 23 41 1 1 1 1.359
325 444 1 4 23 41 1 3 2 0.736
326 444 1 5 23 41 1 3 3 0.528
327 444 1 6 23 41 1 3 3 0.368
328 444 1 7 23 41 1 5 5 1.208
329 444 1 8 23 41 2 8 7 0.995
330 444 1 9 23 41 1 2 2 1.787
331 444 1 10 23 41 1 4 3 0.86
332 444 1 11 23 41 2 8 7 1.469
333 444 1 12 23 41 1 4 4 2.475
334 444 1 13 23 41 2 8 8 1.519
335 444 1 14 23 41 1 2 2 0.884
336 444 1 15 23 41 2 8 8 0.795
337 444 1 16 23 41 1 2 2 0.676
338 444 1 17 23 41 1 1 2 0.748
339 444 1 18 23 41 1 7 7 3.995
340 444 1 19 23 41 1 2 3 1.412
341 444 1 20 23 41 1 5 3 0.602
342 444 1 21 23 41 1 3 3 1.067
343 444 1 22 23 41 1 2 2 0.739
344 444 1 23 23 41 1 6 4 1.053
345 444 1 24 23 41 1 7 7 1.047
346 444 1 25 23 41 1 6 7 0.549
347 444 1 26 23 41 1 6 6 0.8
348 444 1 27 23 41 1 7 7 0.791
349 444 1 28 23 41 1 3 3 2.319
350 444 1 29 23 41 1 2 2 0.744
351 444 1 30 23 41 1 6 5 1.057
352 444 1 31 23 41 1 4 5 2.345
353 444 1 32 23 41 1 1 2 0.948
354 444 1 33 23 41 2 8 8 1.714
355 444 1 34 23 41 2 8 8 0.485
356 444 1 35 23 41 1 7 8 0.36
357 444 1 36 23 41 1 1 1 1.713
358 444 1 37 23 41 2 8 7 1.221
359 444 1 38 23 41 1 4 2 0.679
360 444 1 39 23 41 1 5 5 1.216
361 444 1 40 23 41 1 7 6 0.951
362 444 1 41 23 41 1 6 7 0.484
363 444 1 42 23 41 1 6 7 0.518
364 444 1 43 23 41 1 1 2 1.898
365 444 1 44 23 41 1 6 5 2.64
366 444 1 45 23 41 1 6 7 1.213
367 444 1 46 23 41 1 4 5 0.788
368 444 1 47 23 41 1 3 4 0.919
369 444 1 48 23 41 1 5 5 0.955
370 444 1 49 23 41 1 3 4 0.717
371 444 1 50 23 41 1 3 3 0.436
372 444 1 51 23 41 1 6 5 1.017
373 444 1 52 23 41 2 8 7 1.033
374 444 1 53 23 41 1 7 8 0.461
375 444 1 54 23 41 1 2 2 2.308
376 444 1 55 23 41 1 1 1 0.67
377 444 1 56 23 41 1 3 2 0.875
378 444 1 57 23 41 1 6 5 1.741
379 444 1 58 23 41 1 4 3 1.148
380 444 1 59 23 41 1 3 4 0.497
381 444 1 60 23 41 1 7 7 2.946
382 444 1 61 23 41 2 8 8 0.484
383 444 1 62 23 41 1 7 8 0.48
384 444 1 63 23 41 1 5 6 3.065
385 444 1 64 23 41 1 1 2 0.99
386 444 1 65 23 41 1 5 5 3.316
387 444 1 66 23 41 1 1 3 1.798
388 444 1 67 23 41 1 3 3 1.524
389 444 1 68 23 41 1 2 3 0.701
390 444 1 69 23 41 1 3 3 0.712
391 444 1 70 23 41 1 2 2 0.53
392 444 1 71 23 41 1 4 4 0.933
393 444 1 72 23 41 1 7 7 1.927
394 444 1 73 23 41 2 8 8 0.464
395 444 1 74 23 41 1 7 8 0.501
396 444 1 75 23 41 1 7 7 0.454
397 444 1 76 23 41 1 3 4 1.611
398 444 1 77 23 41 1 1 2 0.765
399 444 1 78 23 41 1 2 1 0.405
400 444 1 79 23 41 1 2 2 0.675
401 444 2 0 23 41 1 4 4 2.733
402 444 2 1 23 41 1 6 6 1.159
403 444 2 2 23 41 1 5 6 0.464
404 444 2 3 23 41 1 4 4 1.071
405 444 2 4 23 41 1 7 6 1.004
406 444 2 5 23 41 2 8 8 1.988
407 444 2 6 23 41 1 7 8 0.538
408 444 2 7 23 41 1 7 7 0.49
409 444 2 8 23 41 1 4 5 1.278
410 444 2 9 23 41 1 3 3 0.714
411 444 2 10 23 41 1 1 1 1.684
412 444 2 11 23 41 1 3 2 0.552
413 444 2 12 23 41 1 7 6 1.685
414 444 2 13 23 41 1 6 5 0.471
415 444 2 14 23 41 1 6 5 0.685
416 444 2 15 23 41 1 4 4 2.494
417 444 2 16 23 41 1 1 1 3.185
418 444 2 17 23 41 1 3 2 1.102
419 444 2 18 23 41 1 5 4 0.91
420 444 2 19 23 41 1 7 7 1.855
421 444 2 20 23 41 1 5 7 0.428
422 444 2 21 23 41 1 4 4 1.616
423 444 2 22 23 41 1 7 6 1.142
424 444 2 23 23 41 1 7 7 0.566
425 444 2 24 23 41 1 7 7 0.375
426 444 2 25 23 41 1 3 5 1.407
427 444 2 26 23 41 1 2 3 0.682
428 444 2 27 23 41 1 1 1 1.557
429 444 2 28 23 41 2 8 7 1.517
430 444 2 29 23 41 1 2 4 2.067
431 444 2 30 23 41 1 4 3 2.303
432 444 2 31 23 41 1 5 5 0.845
433 444 2 32 23 41 1 4 5 0.467
434 444 2 33 23 41 1 7 6 1.779
435 444 2 34 23 41 1 2 3 1.011
436 444 2 35 23 41 2 8 7 1.025
437 444 2 36 23 41 1 5 5 1.622
438 444 2 37 23 41 1 2 3 1.103
439 444 2 38 23 41 1 1 1 0.861
440 444 2 39 23 41 1 7 6 2.05
